Doc ID,Cosine Similarity,Twitter Handle,Country
120,0.047427624,Bahrain_Dr_NadaDhaif,Bahrain
90,0.04513888,Bahrain_Dr_NadaDhaif,Bahrain
113,0.040465184,Bahrain_Dr_NadaDhaif,Bahrain
112,0.037695684,Bahrain_Dr_NadaDhaif,Bahrain
110,0.033578917,Bahrain_Dr_NadaDhaif,Bahrain
111,0.030522376,Bahrain_Dr_NadaDhaif,Bahrain
118,0.02658154,Bahrain_Dr_NadaDhaif,Bahrain
79,0.02562354,Bahrain_Dr_NadaDhaif,Bahrain
78,0.015656885,Bahrain_Dr_NadaDhaif,Bahrain
115,0.01342082,Bahrain_Dr_NadaDhaif,Bahrain
119,0.007891357,Bahrain_Dr_NadaDhaif,Bahrain
114,-0.001883259,Bahrain_Dr_NadaDhaif,Bahrain
,0.126177821,Bahrain_Dr_NadaDhaif Average,
132,0.29445875,Bahrain_fahadsalali,Bahrain
131,0.2508118,Bahrain_fahadsalali,Bahrain
121,0.24727225,Bahrain_fahadsalali,Bahrain
134,0.24362534,Bahrain_fahadsalali,Bahrain
126,0.21006353,Bahrain_fahadsalali,Bahrain
127,0.18799703,Bahrain_fahadsalali,Bahrain
128,0.18461382,Bahrain_fahadsalali,Bahrain
130,0.17406785,Bahrain_fahadsalali,Bahrain
135,0.14584474,Bahrain_fahadsalali,Bahrain
129,0.12514052,Bahrain_fahadsalali,Bahrain
133,0.10657945,Bahrain_fahadsalali,Bahrain
125,0.104598865,Bahrain_fahadsalali,Bahrain
124,0.090425745,Bahrain_fahadsalali,Bahrain
123,0.05968678,Bahrain_fahadsalali,Bahrain
122,0.044723026,Bahrain_fahadsalali,Bahrain
,0.164660633,Bahrain_fahadsalali Average,
137,0.15838923,Bahrain_FawwazBH,Bahrain
144,0.1529926,Bahrain_FawwazBH,Bahrain
147,0.1465287,Bahrain_FawwazBH,Bahrain
143,0.14590813,Bahrain_FawwazBH,Bahrain
136,0.14268667,Bahrain_FawwazBH,Bahrain
138,0.14075491,Bahrain_FawwazBH,Bahrain
140,0.1401534,Bahrain_FawwazBH,Bahrain
139,0.13854519,Bahrain_FawwazBH,Bahrain
141,0.13017581,Bahrain_FawwazBH,Bahrain
142,0.1300563,Bahrain_FawwazBH,Bahrain
148,0.12952162,Bahrain_FawwazBH,Bahrain
146,0.12210758,Bahrain_FawwazBH,Bahrain
145,0.11329126,Bahrain_FawwazBH,Bahrain
149,0.020786352,Bahrain_FawwazBH,Bahrain
154,0.020590859,Bahrain_FawwazBH,Bahrain
156,0.017424155,Bahrain_FawwazBH,Bahrain
157,0.017045688,Bahrain_FawwazBH,Bahrain
159,0.016927129,Bahrain_FawwazBH,Bahrain
152,0.013883409,Bahrain_FawwazBH,Bahrain
158,0.013284529,Bahrain_FawwazBH,Bahrain
151,0.012529559,Bahrain_FawwazBH,Bahrain
160,0.010365488,Bahrain_FawwazBH,Bahrain
150,0.009448449,Bahrain_FawwazBH,Bahrain
155,0.007389736,Bahrain_FawwazBH,Bahrain
153,0.004600613,Bahrain_FawwazBH,Bahrain
,0.078215495,Bahrain_FawwazBH Average,
205,0.30410436,Bahrain_HashemAlawi,Bahrain
198,0.266486,Bahrain_HashemAlawi,Bahrain
193,0.22410086,Bahrain_HashemAlawi,Bahrain
199,0.21462384,Bahrain_HashemAlawi,Bahrain
195,0.20419335,Bahrain_HashemAlawi,Bahrain
206,0.20025045,Bahrain_HashemAlawi,Bahrain
188,0.19283906,Bahrain_HashemAlawi,Bahrain
190,0.1923344,Bahrain_HashemAlawi,Bahrain
194,0.1919492,Bahrain_HashemAlawi,Bahrain
196,0.18522725,Bahrain_HashemAlawi,Bahrain
200,0.1844936,Bahrain_HashemAlawi,Bahrain
204,0.18324272,Bahrain_HashemAlawi,Bahrain
203,0.16371414,Bahrain_HashemAlawi,Bahrain
202,0.14947404,Bahrain_HashemAlawi,Bahrain
187,0.14290428,Bahrain_HashemAlawi,Bahrain
186,0.14075798,Bahrain_HashemAlawi,Bahrain
192,0.115594104,Bahrain_HashemAlawi,Bahrain
201,0.11388323,Bahrain_HashemAlawi,Bahrain
189,0.10511376,Bahrain_HashemAlawi,Bahrain
197,0.092711344,Bahrain_HashemAlawi,Bahrain
184,0.08700989,Bahrain_HashemAlawi,Bahrain
183,0.084905036,Bahrain_HashemAlawi,Bahrain
185,0.08338429,Bahrain_HashemAlawi,Bahrain
161,0.046750918,Bahrain_HashemAlawi,Bahrain
182,0.04180651,Bahrain_HashemAlawi,Bahrain
176,0.038952984,Bahrain_HashemAlawi,Bahrain
181,0.03588835,Bahrain_HashemAlawi,Bahrain
171,0.035347816,Bahrain_HashemAlawi,Bahrain
180,0.03225414,Bahrain_HashemAlawi,Bahrain
179,0.031464286,Bahrain_HashemAlawi,Bahrain
178,0.03139089,Bahrain_HashemAlawi,Bahrain
166,0.031363316,Bahrain_HashemAlawi,Bahrain
170,0.03129989,Bahrain_HashemAlawi,Bahrain
167,0.030822221,Bahrain_HashemAlawi,Bahrain
168,0.029927991,Bahrain_HashemAlawi,Bahrain
175,0.02869915,Bahrain_HashemAlawi,Bahrain
164,0.028680854,Bahrain_HashemAlawi,Bahrain
172,0.028285615,Bahrain_HashemAlawi,Bahrain
169,0.02808398,Bahrain_HashemAlawi,Bahrain
177,0.026079468,Bahrain_HashemAlawi,Bahrain
165,0.025861818,Bahrain_HashemAlawi,Bahrain
174,0.025574498,Bahrain_HashemAlawi,Bahrain
163,0.025465257,Bahrain_HashemAlawi,Bahrain
173,0.023912527,Bahrain_HashemAlawi,Bahrain
162,0.0228042,Bahrain_HashemAlawi,Bahrain
191,0.015015782,Bahrain_HashemAlawi,Bahrain
,0.098239775,Bahrain_HashemAlawi Average,
213,0.31481376,Bahrain_JKhashoggi,Bahrain
211,0.25575018,Bahrain_JKhashoggi,Bahrain
212,0.23505032,Bahrain_JKhashoggi,Bahrain
210,0.23297158,Bahrain_JKhashoggi,Bahrain
209,0.2187808,Bahrain_JKhashoggi,Bahrain
207,0.19049758,Bahrain_JKhashoggi,Bahrain
217,0.17841555,Bahrain_JKhashoggi,Bahrain
214,0.17801273,Bahrain_JKhashoggi,Bahrain
216,0.16803221,Bahrain_JKhashoggi,Bahrain
208,0.1561873,Bahrain_JKhashoggi,Bahrain
215,0.05764395,Bahrain_JKhashoggi,Bahrain
,0.198741451,Bahrain_JKhashoggi Average,
263,0.48491427,Bahrain_khalidalkhalifa,Bahrain
274,0.45687562,Bahrain_khalidalkhalifa,Bahrain
275,0.43523547,Bahrain_khalidalkhalifa,Bahrain
225,0.4209761,Bahrain_khalidalkhalifa,Bahrain
273,0.41881964,Bahrain_khalidalkhalifa,Bahrain
252,0.40045118,Bahrain_khalidalkhalifa,Bahrain
262,0.3835357,Bahrain_khalidalkhalifa,Bahrain
261,0.37581027,Bahrain_khalidalkhalifa,Bahrain
255,0.36023426,Bahrain_khalidalkhalifa,Bahrain
246,0.34899938,Bahrain_khalidalkhalifa,Bahrain
268,0.3489554,Bahrain_khalidalkhalifa,Bahrain
256,0.34150022,Bahrain_khalidalkhalifa,Bahrain
265,0.3386088,Bahrain_khalidalkhalifa,Bahrain
251,0.33709913,Bahrain_khalidalkhalifa,Bahrain
240,0.33643705,Bahrain_khalidalkhalifa,Bahrain
234,0.334385,Bahrain_khalidalkhalifa,Bahrain
236,0.3262186,Bahrain_khalidalkhalifa,Bahrain
237,0.31487328,Bahrain_khalidalkhalifa,Bahrain
269,0.30603334,Bahrain_khalidalkhalifa,Bahrain
239,0.30052793,Bahrain_khalidalkhalifa,Bahrain
248,0.2996477,Bahrain_khalidalkhalifa,Bahrain
227,0.29894322,Bahrain_khalidalkhalifa,Bahrain
253,0.29699057,Bahrain_khalidalkhalifa,Bahrain
235,0.29257414,Bahrain_khalidalkhalifa,Bahrain
264,0.28952354,Bahrain_khalidalkhalifa,Bahrain
258,0.28942293,Bahrain_khalidalkhalifa,Bahrain
254,0.28812116,Bahrain_khalidalkhalifa,Bahrain
241,0.2871579,Bahrain_khalidalkhalifa,Bahrain
250,0.28572306,Bahrain_khalidalkhalifa,Bahrain
231,0.2828536,Bahrain_khalidalkhalifa,Bahrain
276,0.2825194,Bahrain_khalidalkhalifa,Bahrain
218,0.27546567,Bahrain_khalidalkhalifa,Bahrain
222,0.27446255,Bahrain_khalidalkhalifa,Bahrain
277,0.27085048,Bahrain_khalidalkhalifa,Bahrain
257,0.2699791,Bahrain_khalidalkhalifa,Bahrain
272,0.2694251,Bahrain_khalidalkhalifa,Bahrain
267,0.26720193,Bahrain_khalidalkhalifa,Bahrain
249,0.2666072,Bahrain_khalidalkhalifa,Bahrain
260,0.25751165,Bahrain_khalidalkhalifa,Bahrain
226,0.25647098,Bahrain_khalidalkhalifa,Bahrain
232,0.25629485,Bahrain_khalidalkhalifa,Bahrain
233,0.25404817,Bahrain_khalidalkhalifa,Bahrain
228,0.23593648,Bahrain_khalidalkhalifa,Bahrain
243,0.2324157,Bahrain_khalidalkhalifa,Bahrain
245,0.22824943,Bahrain_khalidalkhalifa,Bahrain
244,0.22673137,Bahrain_khalidalkhalifa,Bahrain
229,0.22043817,Bahrain_khalidalkhalifa,Bahrain
238,0.21523637,Bahrain_khalidalkhalifa,Bahrain
259,0.20814735,Bahrain_khalidalkhalifa,Bahrain
219,0.20676628,Bahrain_khalidalkhalifa,Bahrain
223,0.2040858,Bahrain_khalidalkhalifa,Bahrain
242,0.18150844,Bahrain_khalidalkhalifa,Bahrain
266,0.16932616,Bahrain_khalidalkhalifa,Bahrain
270,0.15433526,Bahrain_khalidalkhalifa,Bahrain
221,0.14562514,Bahrain_khalidalkhalifa,Bahrain
220,0.1414178,Bahrain_khalidalkhalifa,Bahrain
247,0.12253308,Bahrain_khalidalkhalifa,Bahrain
278,0.11392818,Bahrain_khalidalkhalifa,Bahrain
230,0.10058077,Bahrain_khalidalkhalifa,Bahrain
271,0.0858795,Bahrain_khalidalkhalifa,Bahrain
279,0.04858447,Bahrain_khalidalkhalifa,Bahrain
224,0.013824116,Bahrain_khalidalkhalifa,Bahrain
,0.269965087,Bahrain_khalidalkhalifa Average,
281,0.37131333,Bahrain_King_Hamad_,Bahrain
280,0.25905368,Bahrain_King_Hamad_,Bahrain
,0.315183505,Bahrain_King_Hamad_ Average,
283,0.36323878,Bahrain_KUhp2222,Bahrain
293,0.335313,Bahrain_KUhp2222,Bahrain
284,0.31936872,Bahrain_KUhp2222,Bahrain
287,0.29774752,Bahrain_KUhp2222,Bahrain
294,0.24706198,Bahrain_KUhp2222,Bahrain
324,0.24621016,Bahrain_KUhp2222,Bahrain
296,0.2406743,Bahrain_KUhp2222,Bahrain
295,0.22299576,Bahrain_KUhp2222,Bahrain
320,0.21804903,Bahrain_KUhp2222,Bahrain
336,0.18287209,Bahrain_KUhp2222,Bahrain
335,0.18006182,Bahrain_KUhp2222,Bahrain
